Comment,Designator,Footprint,LCSC
TLE9201SG,"U2,U8",Infineon_PG-DSO-12-9,C112633
10u,"C1,C7",C_1206_3216Metric,C13585
MAX9924,U3,MSOP-10_3x3mm_P0.5mm,C143633
47p,"C12,C13,C16,C17",C_0805_2012Metric,C14857
10n,"C2,C3,C8,C9",C_0805_2012Metric,C1710
10k,"R1,R12",R_0805_2012Metric,C17414
1k,"R7,R8",R_0805_2012Metric,C17513
4.7k,"R11,R2,R3,R4,R5",R_0805_2012Metric,C17673
1k,"RN1,RN2,RN3,RN4",R_Array_Convex_4x0603,C20197
VNL5090,"U10,U11,U12,U4,U5,U6,U7,U9",SOT-223,C262999
1u,"C10,C5,C6",C_0805_2012Metric,C28323
NUP2105L,"D1,D2",SOT-23,C284104
TJA1051T-3,"U13,U15",SOIC-8_3.9x4.9mm_P1.27mm,C38695
NGD8201AN,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",TO-252-2,C462128
1n,C4,C_0805_2012Metric,C46653
100n,"C14,C15,C18,C19",C_0805_2012Metric,C49678
Fuse,F1,Fuseholder_Blade_Mini_Keystone_3568,C5249699
D_Schottky,"D501,D502,D503,D504,D701,D702,D703,D704",D_SMA,C8678
