Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,106.562042,-47.8646,90.0,top
C2,10n,C_0805_2012Metric,106.612595,-43.466468,90.0,top
C3,10n,C_0805_2012Metric,91.623348,-44.34,-90.0,top
C4,1n,C_0805_2012Metric,134.509372,-51.041904,0.0,top
C5,1u,C_0805_2012Metric,136.3,-61.14,0.0,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.3,-63.64,0.0,top
C7,10u,C_1206_3216Metric,125.200007,-46.494022,90.0,top
C8,10n,C_0805_2012Metric,124.082661,-42.835627,180.0,top
C9,10n,C_0805_2012Metric,108.579658,-42.168935,90.0,top
C10,1u,C_0805_2012Metric,135.157194,-134.716133,90.0,top
C12,47p,C_0805_2012Metric,171.827796,-143.031045,0.0,top
C13,47p,C_0805_2012Metric,174.072461,-137.038591,180.0,top
C14,100n,C_0805_2012Metric,186.057368,-142.389712,0.0,top
C15,100n,C_0805_2012Metric,178.755526,-136.34,0.0,top
C16,47p,C_0805_2012Metric,81.818167,-137.563839,180.0,top
C17,47p,C_0805_2012Metric,81.234731,-143.131829,0.0,top
C18,100n,C_0805_2012Metric,69.993202,-139.130574,90.0,top
C19,100n,C_0805_2012Metric,68.262465,-142.838958,180.0,top
D1,NUP2105L,SOT-23,171.527171,-140.06488,0.0,top
D2,NUP2105L,SOT-23,86.006872,-142.454002,180.0,top
D501,D_Schottky,D_SMA,201.8,-78.64,-90.0,top
D502,D_Schottky,D_SMA,201.8,-70.44,-90.0,top
D503,D_Schottky,D_SMA,201.8,-62.54,-90.0,top
D504,D_Schottky,D_SMA,201.9,-54.24,-90.0,top
D701,D_Schottky,D_SMA,70.9,-49.24,0.0,top
D702,D_Schottky,D_SMA,74.6,-59.84,-90.0,top
D703,D_Schottky,D_SMA,74.5,-67.04,-90.0,top
D704,D_Schottky,D_SMA,68.4,-83.74,0.0,top
F1,Fuse,Fuseholder_Blade_Mini_Keystone_3568,190.664464,-55.502664,-90.0,top
Q1,NGD8201AN,TO-252-2,174.651404,-50.173011,90.0,top
Q2,NGD8201AN,TO-252-2,165.617124,-50.100737,90.0,top
Q3,NGD8201AN,TO-252-2,157.132819,-50.20729,90.0,top
Q4,NGD8201AN,TO-252-2,148.202936,-50.400022,90.0,top
Q5,NGD8201AN,TO-252-2,172.7,-67.34,90.0,top
Q6,NGD8201AN,TO-252-2,163.7,-67.34,90.0,top
Q7,NGD8201AN,TO-252-2,155.7,-67.34,90.0,top
Q8,NGD8201AN,TO-252-2,146.7,-67.302005,90.0,top
R1,10k,R_0805_2012Metric,101.340513,-52.18234,90.0,top
R2,4.7k,R_0805_2012Metric,132.665586,-42.70799,90.0,top
R3,4.7k,R_0805_2012Metric,136.144196,-42.695698,90.0,top
R4,4.7k,R_0805_2012Metric,132.665586,-46.198892,90.0,top
R5,4.7k,R_0805_2012Metric,136.156488,-46.174308,90.0,top
R7,1k,R_0805_2012Metric,136.7,-57.54,-90.0,top
R8,1k,R_0805_2012Metric,136.767835,-53.794967,-90.0,top
R11,4.7k,R_0805_2012Metric,127.72025,-52.254652,-90.0,top
R12,10k,R_0805_2012Metric,121.703685,-52.084021,90.0,top
R17,1k,R_0805_2012Metric,167.671605,-105.177683,180.0,top
R18,1k,R_0805_2012Metric,167.759416,-107.749289,0.0,top
RN1,1k,R_Array_Convex_4x0603,185.65105,-70.402925,270.0,top
RN2,1k,R_Array_Convex_4x0603,189.762544,-70.473813,90.0,top
RN3,1k,R_Array_Convex_4x0603,74.8,-81.14,0.0,top
RN4,1k,R_Array_Convex_4x0603,74.558314,-73.339005,270.0,top
U2,TLE9201SG,Infineon_PG-DSO-12-9,98.877537,-45.596167,180.0,top
U3,MAX9924,MSOP-10_3x3mm_P0.5mm,133.811353,-56.080996,-90.0,top
U4,VNL5090,SOT-223,208.005466,-80.684051,0.0,top
U5,VNL5090,SOT-223,208.005466,-72.448038,0.0,top
U6,VNL5090,SOT-223,208.188488,-56.250546,0.0,top
U7,VNL5090,SOT-223,208.005466,-64.486559,0.0,top
U8,TLE9201SG,Infineon_PG-DSO-12-9,115.737906,-45.408604,180.0,top
U9,VNL5090,SOT-223,68.341189,-54.705741,180.0,top
U10,VNL5090,SOT-223,68.304476,-62.131561,180.0,top
U11,VNL5090,SOT-223,68.277619,-77.63282,180.0,top
U12,VNL5090,SOT-223,68.304476,-69.655819,180.0,top
U13,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,180.285593,-140.573446,90.0,top
U15,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,75.481624,-140.271545,270.0,top
